Transaction files: 16, Total Count: 70478,Time Taken: 4646s, Throughput: 15.17, Average: 65.90ms, Median: 11ms, 95: 123ms, 99: 335ms
Transaction name: Ord, Total time: 0, Total count: 134 

Transaction name: Pop, Total time: 0, Total count: 137 

Transaction name: New, Total time: 0, Total count: 8599 

Transaction name: Rel, Total time: 1905, Total count: 71 

Transaction name: Pay, Total time: 371, Total count: 60202 

Transaction name: Del, Total time: 39, Total count: 1214 

Transaction name: Sto, Total time: 0, Total count: 121 

Total transaction count: 70478
